"Video Gaming Licensed Applicants",
"License Name","d/b/a","Address","City","State","Zip","County","License Number","License Type","Status Date",
"BAFFES,NICHOLAS WILLIAM ","","","","","","","170504275","Terminal Handler","01/09/2018",
"Bagnola,Dean Anthony Jr","","","","","","","120509995","Terminal Handler","10/18/2012",
"BAILEY,AUSTIN PHILLIP ","","","","","","","180501934","Terminal Handler","06/13/2018",
"BAILEY,GARY MILLARD ","","","","","","","180501902","Terminal Handler","06/13/2018",
"BAILEY,LARRY KEVIN ","","","","","","","190502675","Terminal Handler","11/07/2019",
"BAILEY,ROBERT JACKSON ","","","","","","","180501590","Terminal Handler","08/02/2018",
"Baker,Linda  Jean ","","","","","","","120512710","Terminal Handler","02/21/2013",
"BALA,MARIUS  ","","","","","","","180504073","Terminal Handler","12/12/2018",
"BALLARD,JUSTIN GARRETT ","","","","","","","180502145","Terminal Handler","08/02/2018",
"BANCROFT,JARED DAMIEN ","","","","","","","190501034","Terminal Handler","04/18/2019",
"BANDYK,BRYAN COLEMAN Jr","","","","","","","190502573","Terminal Handler","09/16/2019",
"Bandyk,Bryan Colman ","","","","","","","120509994","Terminal Handler","01/24/2013",
"Bandyk,David John ","","","","","","","120504949","Terminal Handler","08/16/2012",
"BARAN,DANNY JOSEPH Jr","","","","","","","160502062","Terminal Handler","07/20/2016",
"Barbini,Renaldo Joseph ","","","","","","","150503122","Terminal Handler","09/22/2015",
"BARCLAY,ROBERT JOHN ","","","","","","","180501585","Terminal Handler","05/24/2018",
"BARNES,KENT STERLING ","","","","","","","120511933","Terminal Handler","12/20/2012",
"BARNES,LAINEY SKYE ","","","","","","","190502506","Terminal Handler","09/16/2019",
"Barnes,Lawrence  ","","","","","","","120509785","Terminal Handler","10/18/2012",
"Barnhart,Timothy Frederick ","","","","","","","150501369","Terminal Handler","04/23/2015",
"BARNS,BAILEY NICOLE ","","","","","","","150503747","Terminal Handler","11/06/2015",
"Barr,Jakob Allen ","","","","","","","130501200","Terminal Handler","03/20/2013",
"Barr,Jordan Andrew ","","","","","","","160502180","Terminal Handler","07/20/2016",
"Barr,Joshua Eugene ","","","","","","","130505401","Terminal Handler","10/24/2013",
"BARRETT,MICHELLE LOUISE ","","","","","","","180503425","Terminal Handler","11/02/2018",
"BARRIENTOS,RENE  ","","","","","","","160503327","Terminal Handler","11/03/2016",
"BARRY,DUSTIN MICHAEL ","","","","","","","170500734","Terminal Handler","03/23/2017",
"Barth,Tyler  Joseph ","","","","","","","140500328","Terminal Handler","03/27/2014",
"Bastone,Michael Anthony ","","","","","","","130501551","Terminal Handler","04/18/2013",
"BATEMAN,BENJAMIN LEE ","","","","","","","160503089","Terminal Handler","10/07/2016",
"BATTISTA,THEODORE ALLEN II","","","","","","","170501332","Terminal Handler","08/24/2017",
"BATTLEDAY,LISA MARIA ","","","","","","","180502085","Terminal Handler","08/02/2018",
"BAUER,ANTHONY  XAVIER ","","","","","","","120510236","Terminal Handler","11/15/2012",
"Baum,Jerald Lee ","","","","","","","120505425","Terminal Handler","08/16/2012",
"BAUSERMAN,THOMAS JASON ","","","","","","","190503449","Terminal Handler","11/07/2019",
"Bautista,Lucero  ","","","","","","","180502733","Terminal Handler","09/14/2018",
"Baxter,Adam Charles ","","","","","","","160500324","Terminal Handler","04/21/2016",
"BAXTER,MICHAEL LEONARD ","","","","","","","180503465","Terminal Handler","11/02/2018",
"Beard,Robert   Craig ","","","","","","","120512057","Terminal Handler","12/20/2012",
"BEAVER,ALEX KEVIN ","","","","","","","180500101","Terminal Handler","02/09/2018",
"Beaver,Austin Carl ","","","","","","","140502883","Terminal Handler","08/21/2014",
"BEAVER,KEVIN ROY ","","","","","","","120510765","Terminal Handler","02/21/2013",
"BECK,GEORGE P ","","","","","","","170500550","Terminal Handler","03/23/2017",
"BECK,SHAWN K. ","","","","","","","190501867","Terminal Handler","08/08/2019",
"Beck,Steven John ","","","","","","","160502179","Terminal Handler","08/31/2016",
"BECKLEY,MARK A ","","","","","","","160501584","Terminal Handler","06/02/2016",
"BEDWELL,ARVILLE GEORGE III","","","","","","","180500565","Terminal Handler","03/07/2018",
"Behm,Daniel Lee ","","","","","","","120504182","Terminal Handler","07/19/2012",
"BEKTASEVIC,ENES  ","","","","","","","170502685","Terminal Handler","09/21/2017",
"BELAIR,MARIE L ","","","","","","","130503480","Terminal Handler","07/18/2013",
"BELL,CHAD EVERETT ","","","","","","","180503133","Terminal Handler","01/30/2019",
"BELL,MICHAEL WAYNE ","","","","","","","180503959","Terminal Handler","08/08/2019",
"BENNETT,JACOB LEE ","","","","","","","180503177","Terminal Handler","09/14/2018",
"BENNETT,JAMES GLENN ","","","","","","","120505166","Terminal Handler","07/19/2012",
"Benson,William David ","","","","","","","160500350","Terminal Handler","03/04/2016",
"Bentivenga,Luigi Alberto ","","","","","","","150501152","Terminal Handler","03/26/2015",
"BENYO,JASON MATTHEW ","","","","","","","190503325","Terminal Handler","11/07/2019",
"Bergeron,Maha  ","","","","","","","130503303","Terminal Handler","08/22/2013",
"BERMAN,DANIEL ROBERT ","","","","","","","190503158","Terminal Handler","11/07/2019",
"BERMUDEZ,SAMUEL  III","","","","","","","190501940","Terminal Handler","08/08/2019",
"Bernardi,John Martin ","","","","","","","130505677","Terminal Handler","11/21/2013",
"BERRIOS IRIZARRY,RICHARD  ","","","","","","","180503202","Terminal Handler","11/02/2018",
"Berry,Dean W ","","","","","","","120504191","Terminal Handler","07/19/2012",
"BERTAGNOLLI,JAMES TYLER ","","","","","","","130503514","Terminal Handler","07/18/2013",
"BERTRAM,SCOTT ALAN ","","","","","","","120511779","Terminal Handler","02/21/2013",
"BERTRAND,PAULETTE MARIE ","","","","","","","150501183","Terminal Handler","03/26/2015",
"Betcher,Orley Orvel III","","","","","","","130501375","Terminal Handler","03/20/2013",
"BHAKTA,PURVINKUMAR HARI ","","","","","","","180504581","Terminal Handler","01/30/2019",
"BHAMBRA,GAGANDEEP SINGH ","","","","","","","190501118","Terminal Handler","06/13/2019",
"Biegler,Christopher Robert Sr","","","","","","","120505336","Terminal Handler","12/20/2012",
"Biel,Traci A ","","","","","","","150503613","Terminal Handler","11/06/2015",
"Biggers,Lucas A ","","","","","","","170502836","Terminal Handler","09/21/2017",
"BIGGS,LEE ANN ","","","","","","","160503086","Terminal Handler","10/07/2016",
"Billmeyer,Erick John ","","","","","","","160500819","Terminal Handler","04/21/2016",
"Billmeyer,Richard John ","","","","","","","140502942","Terminal Handler","09/23/2014",
"Binstein,Michael  ","","","","","","","120511940","Terminal Handler","12/20/2012",
"BINZ,ROBERT FRANCIS II","","","","","","","190502624","Terminal Handler","09/16/2019",
"Biondolino,Christopher Paul ","","","","","","","140502451","Terminal Handler","07/24/2014",
"Birckelbaw,Kurt  ","","","","","","","120503909","Terminal Handler","02/21/2013",
"Bird,Ashton Scott ","","","","","","","180503260","Terminal Handler","09/14/2018",
"BIRGE,PARIS GERROD ","","","","","","","160503719","Terminal Handler","12/14/2016",
"Birkeland,Scott James ","","","","","","","190500157","Terminal Handler","01/30/2019",
"Birnbaum,Matthew Raymond ","","","","","","","150503289","Terminal Handler","09/22/2015",
"BITTERMAN,ALAN WAYNE ","","","","","","","170501998","Terminal Handler","06/28/2017",
"BIZIOS,PETER ALEXANDER ","","","","","","","170504344","Terminal Handler","02/09/2018",
"BIZZOTTO,NINO RICHARD ","","","","","","","170504067","Terminal Handler","01/09/2018",
"Blackburn,Michael Alan ","","","","","","","150502295","Terminal Handler","08/25/2015",
"BLANCH,BUDDY LEE ","","","","","","","190502499","Terminal Handler","09/16/2019",
"BLANCH,MICHAEL ALLAN ","","","","","","","190503445","Terminal Handler","11/07/2019",
"Bland,Matthew Dean ","","","","","","","150503433","Terminal Handler","11/06/2015",
"BLANKENSHIP,LESTER LEWIS ","","","","","","","170500123","Terminal Handler","01/26/2017",
"BLASEN,JOSHUA MICHAEL ","","","","","","","190501069","Terminal Handler","04/18/2019",
"BLOUGH,DAVID ALAN ","","","","","","","190500406","Terminal Handler","04/18/2019",
"BOCHICCHIO,DANIEL MICHAEL Jr","","","","","","","180502652","Terminal Handler","09/14/2018",
"Bocskovits,John A ","","","","","","","130501900","Terminal Handler","07/18/2013",
"BOEHM,ERIC ALLAN ","","","","","","","160501879","Terminal Handler","07/20/2016",
"Bohler,Jeremy Carl ","","","","","","","150500537","Terminal Handler","03/26/2015",
"Boles,Christina Lynn ","","","","","","","140503514","Terminal Handler","03/26/2015",
"Bolger,Ronald Owen ","","","","","","","120506172","Terminal Handler","12/20/2012",
"BOLGER,TIMOTHY JOSEPH ","","","","","","","180500608","Terminal Handler","03/07/2018",
"Boll,Alex David ","","","","","","","170500779","Terminal Handler","03/23/2017",
"Bollinger,Robert Lee ","","","","","","","130502129","Terminal Handler","05/23/2013",
"BOLMER,MICHAEL MARVIN ","","","","","","","170501782","Terminal Handler","06/28/2017",
"BOLTON,BRANDON ALEXANDER ","","","","","","","180501834","Terminal Handler","06/13/2018",
"Bond,Michael Earl ","","","","","","","120504472","Terminal Handler","08/16/2012",
"BORRIES,ANDREW CLARENCE ","","","","","","","180502692","Terminal Handler","08/02/2018",
"BOSWELL,ZACHARY ALAN ","","","","","","","190501984","Terminal Handler","08/08/2019",
"Boutros,Paul  ","","","","","","","160500711","Terminal Handler","04/21/2016",
"Bowden,Kent Dwight ","","","","","","","120507410","Terminal Handler","09/20/2012",
"BOWERS,MATTHEW EDWARD ","","","","","","","180501488","Terminal Handler","05/24/2018",
"Bowler,Kevin Thomas ","","","","","","","140504366","Terminal Handler","03/26/2015",
"BOWLER,THOMAS EDWARD ","","","","","","","170502933","Terminal Handler","09/21/2017",
"Bowman,David Mariono ","","","","","","","160500197","Terminal Handler","03/04/2016",
"Box,Teresa Ann ","","","","","","","130506539","Terminal Handler","01/15/2014",
"Boyd,Nathan Alan ","","","","","","","150503119","Terminal Handler","09/22/2015",
"BOYD,THOMAS O Jr","","","","","","","140502444","Terminal Handler","07/24/2014",
"BOYLE,ANGELA  ","","","","","","","180502667","Terminal Handler","12/12/2018",
"BOZOVIC,MILOS  ","","","","","","","190500016","Terminal Handler","01/30/2019",
"Braden,Robert STANFORD ","","","","","","","130504021","Terminal Handler","08/22/2013",
"Brake,Michael Charles ","","","","","","","120508300","Terminal Handler","10/18/2012",
"Brandli,Collin John ","","","","","","","150503440","Terminal Handler","11/06/2015",
"BRANDONISIO,PAT  ","","","","","","","170500542","Terminal Handler","04/21/2017",
"BRANT,STEVEN MERLIN ","","","","","","","160503077","Terminal Handler","10/07/2016",
"BRAVO,MARGARITO M ","","","","","","","120512345","Terminal Handler","12/20/2012",
"BREER,THOMAS WALTER ","","","","","","","120512857","Terminal Handler","01/24/2013",
"BREHM,TIMOTHY MICHAEL ","","","","","","","190502994","Terminal Handler","11/07/2019",
"BRENGMAN,BENNETT JOSEPH ","","","","","","","180502730","Terminal Handler","11/02/2018",
"Brennan,William Joseph Jr","","","","","","","160500512","Terminal Handler","12/14/2016",
"BRENNER,ALAN DAVID ","","","","","","","180500623","Terminal Handler","03/07/2018",
"BRENT,JASON RICHARD ","","","","","","","190502825","Terminal Handler","09/16/2019",
"BRIGGS,MATTHEW J ","","","","","","","120511939","Terminal Handler","12/20/2012",
"BRISTOL,TRENT MATTHEW ","","","","","","","180504434","Terminal Handler","06/13/2019",
"BROEGE,NICHOLAS JAY ","","","","","","","180503700","Terminal Handler","11/02/2018",
"BROGAN,BRETT GORDON ","","","","","","","170501207","Terminal Handler","05/25/2017",
"Brogan,Richard  Allen ","","","","","","","140502877","Terminal Handler","09/23/2014",
"BROMENSCHENKEL,FRANCIS WILLIAM IV","","","","","","","180504071","Terminal Handler","01/30/2019",
"BROOKS,VICTORIA JEAN ","","","","","","","180503201","Terminal Handler","11/02/2018",
"BROOKSHIER,MICHAEL  LEE ","","","","","","","150500650","Terminal Handler","03/26/2015",
"BROOME,MICHAEL ALLAN ","","","","","","","190500438","Terminal Handler","04/18/2019",
"BROUKAL,MATTHEW CHRISTOPHER ","","","","","","","190501131","Terminal Handler","06/13/2019",
"BROVELLI,BRIAN JOSEPH ","","","","","","","180503830","Terminal Handler","01/30/2019",
"Brown,Bonnie  ","","","","","","","150503815","Terminal Handler","11/06/2015",
"BROWN,BRENDA ANN ","","","","","","","180501362","Terminal Handler","05/24/2018",
"BROWN,CRAIG WILLIAM ","","","","","","","180503539","Terminal Handler","11/02/2018",
"BROWN,JAMES RICHARD ","","","","","","","160502352","Terminal Handler","08/31/2016",
"BROWN,MARK OWEN ","","","","","","","160501464","Terminal Handler","06/02/2016",
"BROWN,MATTHEW PHILIP ","","","","","","","160502345","Terminal Handler","08/31/2016",
"Brown,Mickey Patrick ","","","","","","","150503814","Terminal Handler","11/06/2015",
"BROWN,RYAN ADAM ","","","","","","","120508324","Terminal Handler","01/24/2013",
"BROWN,THOMAS EUGENE Jr","","","","","","","180504183","Terminal Handler","03/01/2019",
"BROWN,TOMMY LEE Jr","","","","","","","180501991","Terminal Handler","12/12/2018",
"Brownfield,Joshua Michael ","","","","","","","120506370","Terminal Handler","08/16/2012",
"BROWNING,DAWN MARIE ","","","","","","","180502296","Terminal Handler","08/02/2018",
"BROWNING,KRISTINE VICTORIA ","","","","","","","130502652","Terminal Handler","05/23/2013",
"BROXSON,ERIC CHARLES ","","","","","","","120508480","Terminal Handler","09/20/2012",
"BRUE,MICHAEL TRAVIS ","","","","","","","160502959","Terminal Handler","11/03/2016",
"BRUMLEVE,DEREK PHILLIP ","","","","","","","170501813","Terminal Handler","06/28/2017",
"BRUMLEVE,THEODORE FRANCIS ","","","","","","","160501586","Terminal Handler","06/02/2016",
"Brumm,Roger Joseph ","","","","","","","130500630","Terminal Handler","05/23/2013",
"Brundrett,Gregory M ","","","","","","","130500352","Terminal Handler","02/21/2013",
"Bruski,Kenneth A ","","","","","","","130501898","Terminal Handler","04/18/2013",
"BRYAN,PATRICK MICHAEL ","","","","","","","130500428","Terminal Handler","02/21/2013",
"Buchanan,Lawrence William ","","","","","","","140500872","Terminal Handler","04/30/2014",
"BUCKLEY,ROBERT ALAN ","","","","","","","170500846","Terminal Handler","03/23/2017",
"BUCKO,JON ROBERT ","","","","","","","180500916","Terminal Handler","04/12/2018",
"BUDDE,BRENT ALAN ","","","","","","","170503448","Terminal Handler","11/16/2017",
"BUGGER,JAMES OSWIN ","","","","","","","190502625","Terminal Handler","09/16/2019",
"BULLERMAN,NICOLE ANNE ","","","","","","","180500963","Terminal Handler","05/24/2018",
"BUNDY,MARTIN ROBERT ","","","","","","","180502670","Terminal Handler","09/14/2018",
"BURBACH,KENNETH MICHAEL ","","","","","","","160503968","Terminal Handler","12/14/2016",
"BURGARD,MELISSA KRISTINE ","","","","","","","180501804","Terminal Handler","06/13/2018",
"BURGE,WILLIAM LEROY Jr","","","","","","","160501457","Terminal Handler","06/02/2016",
"BURNETT,URIAH SONNY ","","","","","","","170503260","Terminal Handler","02/09/2018",
"Burns,Stephen Michael ","","","","","","","120509283","Terminal Handler","07/18/2013",
